Location,Coordinates,Timestamp,Status,Entries_Analyzed,Total_Fields,Field_Name,Available,Availability_Percentage,Total_Entries,Non_Null_Entries,Sample_Values
Asco,"42.4542, 8.7389",2025-07-28T21:19:02.764838,success,6,11,clouds,True,100.0,6,6,"[10, 10, 10]"
Asco,"42.4542, 8.7389",2025-07-28T21:19:02.764838,success,6,11,sea_level,True,100.0,6,6,"[1008.7, 1009.1, 1009.6]"
Asco,"42.4542, 8.7389",2025-07-28T21:19:02.764838,success,6,11,T,True,100.0,6,6,"[{'value': 25.4, 'windchill': 30.2}, {'value': 22.1, 'windchill': 26.7}, {'value': 21.1, 'windchill': 25.7}]"
Asco,"42.4542, 8.7389",2025-07-28T21:19:02.764838,success,6,11,dt,True,100.0,6,6,"[1753725600, 1753729200, 1753732800]"
Asco,"42.4542, 8.7389",2025-07-28T21:19:02.764838,success,6,11,weather,True,100.0,6,6,"[{'icon': 'p1j', 'desc': 'Ensoleillé'}, {'icon': 'p1j', 'desc': 'Ensoleillé'}, {'icon': 'p1n', 'desc': 'Ciel clair'}]"
Asco,"42.4542, 8.7389",2025-07-28T21:19:02.764838,success,6,11,iso0,True,100.0,6,6,"[3500, 3500, 3500]"
Asco,"42.4542, 8.7389",2025-07-28T21:19:02.764838,success,6,11,rain,True,100.0,6,6,"[{'1h': 0}, {'1h': 0}, {'1h': 0}]"
Asco,"42.4542, 8.7389",2025-07-28T21:19:02.764838,success,6,11,rain snow limit,True,100.0,6,6,"['Non pertinent', 'Non pertinent', 'Non pertinent']"
Asco,"42.4542, 8.7389",2025-07-28T21:19:02.764838,success,6,11,snow,True,100.0,6,6,"[{'1h': 0}, {'1h': 0}, {'1h': 0}]"
Asco,"42.4542, 8.7389",2025-07-28T21:19:02.764838,success,6,11,humidity,True,100.0,6,6,"[60, 70, 70]"
Asco,"42.4542, 8.7389",2025-07-28T21:19:02.764838,success,6,11,wind,True,100.0,6,6,"[{'speed': 4, 'gust': 0, 'direction': 360, 'icon': 'N'}, {'speed': 3, 'gust': 0, 'direction': 355, 'icon': 'N'}, {'speed': 2, 'gust': 0, 'direction': 35, 'icon': 'NE'}]"
Conca,"41.7, 9.3",2025-07-28T21:19:03.398771,success,6,11,clouds,True,100.0,6,6,"[10, 10, 10]"
Conca,"41.7, 9.3",2025-07-28T21:19:03.398771,success,6,11,sea_level,True,100.0,6,6,"[1008.5, 1009.1, 1009.6]"
Conca,"41.7, 9.3",2025-07-28T21:19:03.398771,success,6,11,T,True,100.0,6,6,"[{'value': 23.1, 'windchill': 28.2}, {'value': 23, 'windchill': 29.4}, {'value': 21.5, 'windchill': 27.1}]"
Conca,"41.7, 9.3",2025-07-28T21:19:03.398771,success,6,11,dt,True,100.0,6,6,"[1753725600, 1753729200, 1753732800]"
Conca,"41.7, 9.3",2025-07-28T21:19:03.398771,success,6,11,weather,True,100.0,6,6,"[{'icon': 'p1j', 'desc': 'Ensoleillé'}, {'icon': 'p1j', 'desc': 'Ensoleillé'}, {'icon': 'p1n', 'desc': 'Ciel clair'}]"
Conca,"41.7, 9.3",2025-07-28T21:19:03.398771,success,6,11,iso0,True,100.0,6,6,"[3700, 3700, 3700]"
Conca,"41.7, 9.3",2025-07-28T21:19:03.398771,success,6,11,rain,True,100.0,6,6,"[{'1h': 0}, {'1h': 0}, {'1h': 0}]"
